"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"34","Nemoura avicularis","Insecta","Plecoptera","Nemouridae","Nemoura","avicularis","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"44","Limnephilus","Insecta","Trichoptera","Limniphilidae","Limnephilus","","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"46","Limnephilus","Insecta","Trichoptera","Limniphilidae","Limnephilus","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"47","Limnephilus","Insecta","Trichoptera","Limniphilidae","Limnephilus","","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"48","Psychomyia pusilla","Insecta","Trichoptera","Psychomyiidae","Psychomyia","pusilla","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","family","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"49","Psychomyia pusilla","Insecta","Trichoptera","Psychomyiidae","Psychomyia","pusilla","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","family","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"50","Heptagenia sulphurea","Insecta","Ephemeroptera","Heptageniidae","Heptagenia","sulphurea","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"51","Heptagenia sulphurea","Insecta","Ephemeroptera","Heptageniidae","Heptagenia","sulphurea","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"57","Heptagenia sulphurea","Insecta","Ephemeroptera","Heptageniidae","Heptagenia","sulphurea","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"59","Heptagenia sulphurea","Insecta","Ephemeroptera","Heptageniidae","Heptagenia","sulphurea","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"60","Asellus aquaticus","Crustacea","Isopoda","Asellidae","Asellus","aquaticus","Polycelis","Rhabditophora","Tricladida","Planariidae","Polycelis","","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"62","Asellus aquaticus","Crustacea","Isopoda","Asellidae","Asellus","aquaticus","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",18,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"64","Asellus aquaticus","Crustacea","Isopoda","Asellidae","Asellus","aquaticus","Oreodytes sanmarkii","Insecta","Coleoptera","Dytiscidae","Oreodytes","sanmarkii","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
