"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"186","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"188","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"191","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"192","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"195","Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"201","Pedicia","Insecta","Diptera","Pediciidae","Pedicia","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"204","Hexatoma","Insecta","Diptera","Limoniidae","Hexatoma","","Hexatoma","Insecta","Diptera","Limoniidae","Hexatoma","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"212","Ostracoda","Ostracoda","","","","","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"213","Ostracoda","Ostracoda","","","","","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"215","Ostracoda","Ostracoda","","","","","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"216","Ostracoda","Ostracoda","","","","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"218","Ostracoda","Ostracoda","","","","","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"222","Nemoura cambrica","Insecta","Plecoptera","Nemouridae","Nemoura","cambrica","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"224","Nemoura cambrica","Insecta","Plecoptera","Nemouridae","Nemoura","cambrica","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"227","Nemoura cambrica","Insecta","Plecoptera","Nemouridae","Nemoura","cambrica","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"228","Nemoura cambrica","Insecta","Plecoptera","Nemouridae","Nemoura","cambrica","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"230","Nemoura cambrica","Insecta","Plecoptera","Nemouridae","Nemoura","cambrica","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"232","Nemoura cambrica","Insecta","Plecoptera","Nemouridae","Nemoura","cambrica","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"233","Nemoura cambrica","Insecta","Plecoptera","Nemouridae","Nemoura","cambrica","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"236","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"241","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"242","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"245","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"246","Potamophylax latipennis","Insecta","Trichoptera","Limniphilidae","Potamophylax","latipennis","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"248","Potamophylax latipennis","Insecta","Trichoptera","Limniphilidae","Potamophylax","latipennis","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",18,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"254","Ecdyonurus dispar","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","dispar","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"255","Ecdyonurus dispar","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","dispar","Hexatoma","Insecta","Diptera","Limoniidae","Hexatoma","","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"256","Ecdyonurus dispar","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","dispar","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"258","Ecdyonurus dispar","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","dispar","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"259","Ecdyonurus dispar","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","dispar","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"260","Ecdyonurus dispar","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","dispar","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"261","Ecdyonurus dispar","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","dispar","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"263","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"267","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"269","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"272","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"274","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"275","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"276","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"277","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",27,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"278","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"279","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Ondotocerum albicorne","Insecta","Trichoptera","Odontoceridae","Odontocerum","albicorne","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"282","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",65,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"283","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","genus","genus",10,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"284","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"286","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",9,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"287","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",47,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"288","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","genus","exact",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"290","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"291","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","genus","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"292","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",55,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"293","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","genus","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"294","Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","genus","exact",11,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"301","Ceratopogonidae","Insecta","Diptera","Ceratopogonidae","","","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"304","Ceratopogonidae","Insecta","Diptera","Ceratopogonidae","","","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"309","Caenis luctuosa","Insecta","Ephemeroptera","Caenidae","Caenis","luctuosa","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"311","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","family","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"312","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","family","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"313","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","family","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"314","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","family","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"316","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","family","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"318","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","family","family",11,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"321","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","family","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"322","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","family","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"324","Silo pallipes","Insecta","Trichoptera","Goeridae","Silo","pallipes","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"328","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"329","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"330","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"331","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Pedicia","Insecta","Diptera","Pediciidae","Pedicia","","genus","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"333","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"334","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"335","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","genus","exact",11,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"336","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"337","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"338","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"340","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"341","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"342","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"343","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"344","Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"347","Oulimnius tuberculatus","Insecta","Coleoptera","Elmidae","Oulimnius","tuberculatus","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"360","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"361","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"362","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"363","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Pedicia","Insecta","Diptera","Pediciidae","Pedicia","","genus","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"365","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"366","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","genus","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"367","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Dicranota","Insecta","Diptera","Tipulidae","Dicranota","","genus","exact",11,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"368","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",49,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"369","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",81,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"370","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"372","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"373","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Chloroperla tripunctata","Insecta","Plecoptera","Chloroperlidae","Chloroperla","tripunctata","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"374","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",28,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"375","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"376","Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","genus","exact",9,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"381","Ecdyonurus torrentis","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","torrentis","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"382","Ecdyonurus torrentis","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","torrentis","Hexatoma","Insecta","Diptera","Limoniidae","Hexatoma","","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"383","Ecdyonurus torrentis","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","torrentis","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","genus","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"385","Ecdyonurus torrentis","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","torrentis","Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","genus","family",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"386","Ecdyonurus torrentis","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","torrentis","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"387","Ecdyonurus torrentis","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","torrentis","Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","genus","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"388","Ecdyonurus torrentis","Insecta","Ephemeroptera","Heptageniidae","Ecdyonurus","torrentis","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","genus","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"403","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"404","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","Perlodes microcephala","Insecta","Plecoptera","Perlodidae","Perlodes","microcephala","exact","genus",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"405","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","exact","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"407","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"408","Isoperla grammatica","Insecta","Plecoptera","Perlodidae","Isoperla","grammatica","Siphonoperla torrentium","Insecta","Plecoptera","Chloroperlidae","Siphonoperla","torrentium","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"409","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","Diura bicaudata","Insecta","Plecoptera","Perlodidae","Diura","bicaudata","genus","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"410","Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","exact","exact",26,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
